Data - Rest (2)
t_us,dt_us,dt_ms,ax_g,ay_g,az_g,a_mag,a_mag_filt,t_s,jerk_raw,jerk_filt
33953629,10000,10,0.042,0.004,1.009,1.009,1.009,33.953629,0.004,0.002
34053629,10000,10,0.045,0.006,1.012,1.013,1.011,34.053629,0.004,0.001
34153629,10000,10,0.043,0.005,1.008,1.009,1.012,34.153629,0.003,0.001
34253629,10000,10,0.04,0.003,1.011,1.012,1.011,34.253629,0.002,0
34353629,10000,10,0.042,0.006,1.009,1.01,1.011,34.353629,0.006,0.002
34453629,10000,10,0.039,0.006,1.016,1.016,1.013,34.453629,0.001,0.002
34553629,10000,10,0.044,0.007,1.014,1.015,1.011,34.553629,0.002,0
34653629,10000,10,0.039,0.008,1.017,1.017,1.011,34.653629,0.004,0
34753629,10000,10,0.042,0.005,1.012,1.013,1.011,34.753629,0.003,0.001
34853629,10000,10,0.04,0.007,1.009,1.01,1.01,34.853629,0.007,0.002
34953629,10000,10,0.041,0.003,1.017,1.017,1.012,34.953629,0.007,0
35053629,10000,10,0.043,0.006,1.01,1.01,1.012,35.053629,0.005,0.001
35153629,10000,10,0.045,0.003,1.014,1.015,1.013,35.153629,0.005,0.002
35253629,10000,10,0.044,0.008,1.009,1.01,1.011,35.253629,0.003,0.002
35353629,10000,10,0.042,0.001,1.012,1.013,1.013,35.353629,0.004,0.003
35453629,10000,10,0.043,0.002,1.008,1.009,1.01,35.453629,0.001,0
35553629,10000,10,0.042,0.001,1.008,1.008,1.01,35.553629,0.006,0.003
35653629,10000,10,0.045,0.004,1.013,1.014,1.013,35.653629,0,0.002
35753629,10000,10,0.044,0.004,1.013,1.014,1.011,35.753629,1.014,1.011
