t_us,dt_us,dt_ms,ax_g,ay_g,az_g,a_mag,a_mag_filt,t_s,jerk_raw,jerk_filt
20253630,10000,10,0.753,-0.241,-0.703,1.058,2.193,20.25363,1.63,0.493
20353630,10000,10,2,-0.029,-1.796,2.688,2.686,20.35363,0.681,0.867
20453630,10000,10,-0.14,0.102,2,2.007,1.819,20.45363,0.861,0.352
20553630,10000,10,0.93,-0.501,-0.444,1.146,2.171,20.55363,1.76,0.552
20653630,10000,10,2,1.02,-1.845,2.906,2.723,20.65363,0.357,0.526
20753630,10000,10,-1.627,-2,2,3.263,2.197,20.75363,0.584,0.002
20853630,10000,10,2,0.402,-1.737,2.679,2.199,20.85363,1.333,0.229
20953630,10000,10,0.625,1.045,0.573,1.346,2.428,20.95363,1.256,0.023
21053630,10000,10,-0.672,-1.522,2,2.602,2.451,21.05363,0.275,0.148
21153630,10000,10,2,0.529,-2,2.877,2.303,21.15363,0.449,0.186
21253630,10000,10,-0.394,-1.32,2,2.428,2.117,21.25363,0.055,0.037
21353630,10000,10,1.647,0.479,-1.796,2.483,2.154,21.35363,0.739,0.552
21453630,10000,10,1.482,0.555,-0.732,1.744,2.706,21.45363,1.211,0.171
21553630,10000,10,-1.554,-1.522,2,2.955,2.535,21.55363,0.012,0.29
21653630,10000,10,2,0.896,-2,2.967,2.245,21.65363,0.63,0.011
21753630,10000,10,-0.387,-1.146,2,2.337,2.256,21.75363,0.97,0.094
21853630,10000,10,1.189,-0.304,-0.602,1.367,2.35,21.85363,1.211,0.429
21953630,10000,10,1.849,1.121,-1.405,2.578,2.779,21.95363,0.313,0.623
22053630,10000,10,-0.125,-1.056,2,2.265,2.156,22.05363,0.757,0.12
22153630,10000,10,2,1.066,-2,3.022,2.276,22.15363,0.212,0.097
22253630,10000,10,-1.568,-2,2,3.234,2.179,22.25363,0.642,0.038
22353630,10000,10,2,0.944,-1.351,2.592,2.217,22.35363,1.028,0.408
22453630,10000,10,1.528,0.298,0.15,1.564,2.625,22.45363,0.254,0.215
22553630,10000,10,-0.524,-0.58,1.641,1.818,2.41,22.55363,1.309,0.187
22653630,10000,10,2,1.334,-2,3.127,2.223,22.65363,0.178,0.086
22753630,10000,10,-0.836,-2,2,2.949,2.309,22.75363,0.039,0.078
22853630,10000,10,2,1.105,-1.802,2.91,2.231,22.85363,1.041,0.043
22953630,10000,10,-0.575,-1.037,1.446,1.869,2.274,22.95363,0.269,0.107
23053630,10000,10,1.772,0.924,-0.758,2.138,2.167,23.05363,0.453,0.522
23153630,10000,10,1.439,0.728,-0.488,1.685,2.689,23.15363,0.458,0.703
23253630,10000,10,-0.465,-1.008,0.522,1.227,1.986,23.25363,1.731,0.009
23353630,10000,10,2,1.42,-1.653,2.958,1.977,23.35363,0.872,0.3
23453630,10000,10,-0.248,-1.623,1.286,2.086,2.277,23.45363,0.03,0.009
23553630,10000,10,2,0.536,-0.438,2.116,2.268,23.55363,0.381,0.288
23653630,10000,10,1.497,0.525,-0.702,1.735,2.556,23.65363,0.558,0.818
23753630,10000,10,-0.281,-0.605,0.969,1.177,1.738,23.75363,1.713,0.508
23853630,10000,10,2,1.426,-1.523,2.89,2.246,23.85363,0.311,0.293
23953630,10000,10,-0.641,-1.497,2,2.579,1.953,23.95363,0.46,0.058
24053630,10000,10,2,1.248,-1.918,3.039,2.011,24.05363,0.975,0.04
24153630,10000,10,-0.249,-1.479,1.418,2.064,1.971,24.15363,0.538,0.415
